X , Y , UTC
401.12 , 280.88 , 413066380.75
401.65 , 282.16 , 413066392.60
402.06 , 281.79 , 413066403.29
402.44 , 281.70 , 413066414.01
402.83 , 283.02 , 413066426.13
402.16 , 283.89 , 413066436.72
401.78 , 283.91 , 413066447.32
398.54 , 282.86 , 413066459.22
397.41 , 282.67 , 413066469.92
396.79 , 282.39 , 413066480.54
397.97 , 282.33 , 413066492.53
396.57 , 282.81 , 413066503.18
396.72 , 283.41 , 413066513.92
397.35 , 283.29 , 413066525.91
398.49 , 283.02 , 413066536.64
398.45 , 279.46 , 413066547.23
398.06 , 278.04 , 413066559.09
398.19 , 278.74 , 413066569.87
398.12 , 279.09 , 413066580.51
399.41 , 279.21 , 413066592.46
399.55 , 279.36 , 413066603.14
398.47 , 279.40 , 413066613.99
400.43 , 286.76 , 413066625.96
405.18 , 304.74 , 413066636.53
425.39 , 426.89 , 413066647.22
427.59 , 439.40 , 413066659.13
430.06 , 453.09 , 413066669.75
432.09 , 465.27 , 413066680.51
435.76 , 485.33 , 413066692.39
439.75 , 507.98 , 413066702.95
450.58 , 572.21 , 413066713.83
450.45 , 571.94 , 413066725.77
449.49 , 569.81 , 413066736.44
448.84 , 567.80 , 413066747.11
449.44 , 570.53 , 413066759.08
449.84 , 572.24 , 413066769.70
449.88 , 572.62 , 413066780.55
449.93 , 573.50 , 413066792.39
450.10 , 574.23 , 413066803.08
450.70 , 574.54 , 413066813.80
450.96 , 573.71 , 413066825.67
451.92 , 575.25 , 413066836.41
496.91 , 610.28 , 413066847.12
501.27 , 613.75 , 413066858.99
503.55 , 615.38 , 413066869.76
505.61 , 616.75 , 413066880.33
507.65 , 618.27 , 413066892.29
509.15 , 619.40 , 413066902.84
515.24 , 623.88 , 413066913.66
516.42 , 624.18 , 413066925.62
518.13 , 625.40 , 413066936.34
518.17 , 626.07 , 413066946.89
518.49 , 626.21 , 413066958.90
518.69 , 626.13 , 413066969.63
519.11 , 626.53 , 413066980.26
518.66 , 627.05 , 413066992.19
518.30 , 627.39 , 413067002.94
517.33 , 627.48 , 413067013.66
517.03 , 628.10 , 413067025.50
516.83 , 628.34 , 413067036.17
516.29 , 628.08 , 413067046.83
515.48 , 627.75 , 413067058.87
515.42 , 627.32 , 413067069.43
515.78 , 627.40 , 413067080.27
522.15 , 629.32 , 413067092.19
532.23 , 631.80 , 413067102.80
541.94 , 630.53 , 413067113.51
579.16 , 629.02 , 413067125.54
584.89 , 628.82 , 413067136.25
592.36 , 628.64 , 413067146.83
595.76 , 627.92 , 413067158.75
629.28 , 624.18 , 413067169.50
633.21 , 623.54 , 413067180.15
632.76 , 622.89 , 413067192.04
633.10 , 623.21 , 413067202.81
632.55 , 623.13 , 413067213.49
632.65 , 624.05 , 413067225.43
631.68 , 624.15 , 413067236.07
633.73 , 626.54 , 413067246.76
633.26 , 627.25 , 413067258.81
632.89 , 627.75 , 413067269.45
633.97 , 628.05 , 413067280.08
634.13 , 628.20 , 413067292.04
634.24 , 628.45 , 413067302.57
634.33 , 629.26 , 413067313.34
633.82 , 631.46 , 413067324.95
